suffixes
unveils interactive
Collins and
and Star
and Star
Wars The
The Phantom
The Phantom
Menace said
said The
said The
is too
Ireland for
for this
for this
OMalley the
the founder
the founder
was not
beacon of
to Yeats
to OCasey
with a
began 50
embankment overlooking
Lagan in
in 1968
in 1968
Neeson it
it also
it also
Dunbar and
and Stephen
and Stephen
Rea and
and playwrights
and playwrights
Lynch and
and Gary
and Gary
Mitchell
NA
NA
to BBC
Ireland before
before the
before the
Yorks SoHo
SoHo House
House Mr
Mr Neeson
SoHo House
House Mr
Mr Neeson
House Mr
Mr Neeson
Mr Neeson
said that
said that
of Antrim
NA
Paisley
NA
NA
used to
night in
NA
love to
tale tops
book fans
Crane a
a story
a story
Book Prizes
Prizes
NA
Prizes
NA
NA
Stewart and
and Chris
and Chris
Riddells book
book came
book came
Grindleys Spilled
Spilled Water
Water about
about a
Spilled Water
Water about
about a
Water about
about a
about a
girl sold
Bear by
by Mini
by Mini
Grey took
took the
took the
were voted
Crane includes
includes text
includes text
and illustrations
who also
Chronicles together
together
together
Award voted
voted for
voted for
Eccleshare chair
chair of
chair of
winners have
Rowling Jacqueline
Jacqueline Wilson
Jacqueline Wilson
Wilson and
and Dick
and Dick
KingSmith
NA
NA
book wins
prize A
First Book
Book Award
Award 2004
2004
Book Award
Award 2004
2004
Award 2004
2004
2004
Marie Leroi
Leroi a
a lecturer
Leroi a
a lecturer
a lecturer
Imperial College
College scooped
scooped the
College scooped
scooped the
scooped the
On the
Armistead
NA
NA
Kunzru and
and Ali
and Ali
Smith director
director Sir
director Sir
Eyre and
and comedian
Eyre and
and comedian
and comedian
Sayle chose
chose the
chose the
Clarkes Jonathan
Jonathan Strange
Strange and
and Mr
Jonathan Strange
Strange and
and Mr
Strange and
and Mr
and Mr
a novel
a novel
and The
In Between
Rory Stewarts
Stewarts account
account of
account of
NA
Marie Lerois
Lerois book
book was
Lerois book
book was
book was
chair of
chair of
literary editor
the subject
unsettled some
director Sir
Eyre who
who called
Eyre who
who called
who called
Lerois work
work extraordinarily
work extraordinarily
winners include
Teeth by
by Zadie
by Zadie
Smith in
in 2000
in 2000
art portfolio
Versace could
could fetch
could fetch
York and
and London
and London
later this
the pictures
Lichtenstein Andy
Andy Warhol
Andy Warhol
Warhol and
and Henri
and Henri
Matisse
NA
NA
sixstorey New
York townhouse
townhouse
townhouse
home in
Cunanan who
who later
who later
will feature
paintings
of the
Lichtensteins Blue
Blue Nude
Nude which
which has
Blue Nude
Nude which
which has
Nude which
which has
which has
Meyer Sothebys
Sothebys worldwide
Sothebys worldwide
worldwide head
wideranging taste
wideranging taste
later examples
movement such
Lichtenstein are
are juxtaposed
are juxtaposed
Basquiat and
and the
and the
and Warhol
as well
Clemente
NA
NA
of the
York in
in June
in June
with smaller
on 22
NA
furniture and
to star
play Actor
Christian Slater
Slater is
is stepping
Slater is
is stepping
is stepping
in the
revival of
Menagerie
NA
NA
35 is
Roberts in
in the
in the
Williams drama
drama which
drama which
reason was
departure
Collins until
until Slater
until Slater
joins the
won rave
Flew Over
Over the
the Cuckoos
Over the
the Cuckoos
the Cuckoos
Nest in
in Londons
in Londons
West End
End
NA
End
NA
NA
Robin Hood
Hood Prince
Prince of
of Thieves
Prince of
of Thieves
of Thieves
and more
The Hollywood
Years
NA
NA
performances of
Menagerie will
will begin
will begin
Yorks Ethel
Ethel Barrymore
Barrymore Theatre
Theatre on
Ethel Barrymore
Barrymore Theatre
Theatre on
on Thursday
Barrymore Theatre
Theatre on
on Thursday
Theatre on
on Thursday
on Thursday
NA
Rinaldi a
a spokesman
a spokesman
opening date
Leveaux will
will also
will also
Lange as
as the
as the
Wingfield
NA
NA
show for
portrait Sir
Reynolds Portrait
Portrait of
of Omai
Reynolds Portrait
Portrait of
of Omai
Portrait of
of Omai
of Omai
will get
Gallery unsuccessfully
unsuccessfully tried
unsuccessfully tried
painting has
work will
Britain from
from May
from May
NA
Reynolds The
The Creation
The Creation
of Celebrity
will feature
artist who
of Omai
fetched the
painting when
dealer who
2004 the
managed to
from Polynesia
NA
society and
painted him
painted him
Academy in
in 1776
in 1776
raised over
children in
Bussell and
and carving
and carving
research from
Academy of
of Dance
of Dance
RAD has
ballet stars
teacher Eve
Trew who
who has
who has
she had
and everything
Gilbert 23
23 an
23 an
gave up
who runs
who runs
admitted it
these days
only two
Ballet
Darcey
Darcey Bussell
Bussell and
Darcey
Darcey Bussell
Bussell and
and Jonathan
Bussell and
and Jonathan
and Jonathan
Cope
are
are British
are
are British
compared to
National Ballet
Ballet told
told BBC
Ballet told
told BBC
told BBC
that although
around a
was fierce
ballet
Antoinette Sibley
Sibley president
president of
Sibley president
president of
president of
Nureyev Young
Young Dancers
Dancers competition
competition earlier
Young Dancers
Dancers competition
competition earlier
Dancers competition
competition earlier
competition earlier
at children
ballet evolving
more importantly
novel wins
has won
Book Awards
Awards
NA
Awards
NA
NA
Tucks The
The News
The News
From Paraguay
is a
leader Francisco
Solano Lopez
Lopez and
and his
Lopez and
and his
and his
mistress
York on
on Wednesday
on Wednesday
were not
author Judy
Blume who
who was
who was
of Blumes
books have
said The
speak out
hate publicity
years honorary
King accused
accused the
accused the
Roths The
The Plot
The Plot
Against America
America and
and instead
America and
and instead
and instead
Yorkbased women
women
women
fiction judge
ONan carried
carried around
carried around
Book Awards
Awards nonfiction
nonfiction prize
Awards nonfiction
nonfiction prize
nonfiction prize
Boyles for
for Arc
for Arc
of Justice
which focuses
neighbourhood in
Report looking
looking into
looking into
terrorist attacks
Hautman won
won the
won the
NA
Valentine for
for Door
for Door
in the
New and
and Collected
and Collected
Poems 19652003
19652003
19652003
Gallery in
in the
in the
Gallery home
home to
home to
million visitors
gallery
Madonna of
of the
of the
the
the UKs
Pleasure Beach
Beach
NA
Beach
NA
NA
Saumarez Smith
Smith the
the gallerys
Smith the
the gallerys
the gallerys
2001 levels
Smith added
added that
Smith added
added that
added that
Square where
where the
where the
Greco Russian
Russian Landscape
Russian Landscape
Landscape in
in the
in the
of Tolstoy
and Raphael
From Urbino
to Rome
was particularly
Smith said
said he
Smith said
said he
said he
Stubbs and
and Rubens
in place
of Leading
Visitor Attractions
Attractions Alva
Alva
NA
Attractions Alva
Alva
NA
Alva
NA
NA
travelling to
cultural tourist
Modern and
and the
and the
History Museum
Museum all
all recorded
Museum all
all recorded
all recorded
members did
Palace Windsor
Windsor Castle
Windsor Castle
Castle Madame
Madame Tussauds
Madame Tussauds
Tussauds and
and Alton
and Alton
Towers
NA
NA
director Robin
Broke said
said Visits
said Visits
from Western
Europe were
were up
were up
America by
by some
by some
figures were
from Europe
especially from
director signs
deal Harry
Potter director
director Alfonso
director Alfonso
Cuaron has
has signed
has signed
studio Warner
Brothers according
according to
according to
trade magazine
filmmaker who
Potter and
and the
and the
of Azkaban
will produce
films
on Harry
Potter Warner
Warner producer
Warner producer
producer Jeff
Robinov told
told Variety
told Variety
NA
other films
movie Y
Mama Tambien
Tambien
NA
Tambien
NA
NA
international attention
with whom
nomination for
will distribute
films in
on movies
NA
NA
Brothers was
was 1995s
was 1995s
Princess
NA
NA
on the
Hodgson Burnett
Burnett A
A Little
Burnett A
A Little
A Little
Princess tells
tells the
tells the
York boarding
boarding school
boarding school
Mama Tambien
Tambien Cuaron
Cuaron was
Tambien Cuaron
Cuaron was
Cuaron was
was a
Potter film
film but
film but
Blogger on
on big
on big
Blogger has
has been
has been
Film Festival
Festival
NA
Festival
NA
NA
Pax the
the author
the author
life during
on a
Blogger is
is among
is among
showcased at
festival which
NA
the fascination
Pax
not
not his
not
not his
newspaper and
to document
about their
one of
first features
Hussein
NA
NA
Oday Rasheed
Rasheed made
made the
Rasheed made
made the
made the
film taken
of Culture
building
is under
said the
under Saddams
regime and
regime was
said
filmmaker Theo
Van Goghs
Goghs film
film about
Goghs film
film about
film about
but it
Gogh was
was shot
was shot
2004 following
NA
vision of
Despite sporting
sporting a
sporting a
Redford cuts
cuts an
cuts an
NA
City Utah
Utah back
Utah back
back in
in its
continues to
45 000
wanted Sundance
to be
festivals like
and XDance
which take
City are
are competing
are competing
limelight
is not
independent film
NA
started to
but actually
came to
filmmakers have
Dramatic and
and Documentary
and Documentary
competition is
wants the
media fails
NA
administration
isnt just
culture wars
war
Redford wishes
wishes the
wishes the
middle class
comes Sundance
with views
knows this
TV Channel
in an
you look
America Asian
Asian women
Asian women
women gay
or later
Potter and
and the
and the
of Azkaban
This third
Potter film
film brought
film brought
are the
Cuaron brings
brings in
brings in
story into
landscape
film where
and studies
Ron and
and Hermione
can put
is no
Radcliffe pulls
pulls it
pulls it
Watson is
is ever
is ever
and the
Oldman and
and Emma
and Emma
Thompson
NA
NA
viewers will
You May
Have Missed
memory test
chasing off
NA
viewers will
Potter DVD
DVD
DVD
Rowling in
in Creating
in Creating
The Vision
and Conjuring
A Scene
a short
Drake scoops
scoops film
scoops film
hopefuls Mike
Leigh and
and Imelda
and Imelda
Staunton were
were both
were both
Standard British
British Film
Film Awards
Awards
British Film
Film Awards
Awards
NA
Film Awards
Awards
NA
Awards
NA
NA
Drake
Leighs
Leighs 1950s
1950s drama
Leighs
Leighs 1950s
1950s drama
1950s drama
who played
winners included
Considine who
who was
who was
Mans Shoes
Shoes
NA
Shoes
NA
NA
Jones The
The Edge
The Edge
of Reason
was named
Standard Readers
Readers Film
Film of
of 2004
Readers Film
Film of
of 2004
Film of
of 2004
of 2004
ceremony
was presented
Spall and
and Stauntons
and Stauntons
award was
Stewart during
during the
during the
on Sunday
night
Standard film
film critic
film critic
Malcolm said
said He
said He
has never
Walker Special
Special Award
Award
which
Special Award
Award
which
which honours
Award
which
which honours
which
which honours
film
Bevan and
and Eric
and Eric
Fellner the
the cochairmen
the cochairmen
Title films
films
films
Laundrette Billy
Billy Elliot
Billy Elliot
Elliot About
About A
About A
A Boy
Shaun of
of The
and Bridget
Jones The
The Edge
The Edge
of Reason
NA
Pegg who
who stars
who stars
of the
won the
Sellers Award
Award For
For Comedy
Award For
For Comedy
For Comedy
NA
winners included
Blunt and
and Nathalie
and Nathalie
Presswho were
were jointly
were jointly
Most Promising
Promising Newcomer
Newcomer Award
Award for
Promising Newcomer
Newcomer Award
Award for
for their
Newcomer Award
Award for
for their
Award for
for their
for their
Pawlikowskis ritesofpassage
ritesofpassage story
ritesofpassage story
of Love
NA
won the
Deakins won
won the
won the
Achievement Award
Award for
for his
Award for
for his
for his
and The
NA
at the
Judi Dench
Dench Kim
Kim Cattrall
Dench Kim
Kim Cattrall
Kim Cattrall
Cattrall Charles
Charles Dance
Charles Dance
Dance Bill
Bill Nighy
Bill Nighy
Nighy and
and Colin
and Colin
Firth
NA
NA
Dee are
are to
are to
on Tuesday
at 2300
vie for
A total
but only
of Motion
Picture Arts
Arts and
Arts and
and Sciences
has sent
those expected
Million Dollar
Dollar Baby
Baby and
and Sideways
Baby and
and Sideways
and Sideways
NA
members will
NA
NA
Martin Scorseses
Scorseses The
The Aviator
Scorseses The
The Aviator
The Aviator
starring Leonardo
DiCaprio went
went on
went on
Day in
in the
in the
have already
urging them
movies tipped
starring Jude
Law and
and Julia
and Julia
Roberts Finding
Finding Neverland
Finding Neverland
Neverland with
with Johnny
with Johnny
Depp as
as author
as author
Barry and
and Kinsey
and Kinsey
starring Liam
Neeson as
as the
as the
Kinsey
NA
NA
design engineer
Miyagishima will
will be
will be
at the
and Technical
Awards Dinner
Dinner on
on 12
Dinner on
on 12
on 12
2005
is the
Award which
which is
which is
ceremony will
Angeles on
on 27
on 27
NA
greeted at
star Tom
Hanks was
was in
was in
Leicester Square
Square for
for the
Square for
for the
for the
Express
NA
NA
End landmark
landmark was
landmark was
Square like
like youve
like youve
who plays
Express is
is based
is based
Claus
NA
NA
of fans
hats and
said that
is a
Award winner
winner
winner
and I
Claus he
he said
he said
Express uses
uses technology
uses technology
of the
to bring
to life
to play
Christmas
NA
NA
Zemeckis who
who has
who has
on Forrest
Gump and
and Castaway
and Castaway
NA
row over
cannibals Plans
to portray
Carib Indians
Indians as
as cannibals
Indians as
as cannibals
as cannibals
of the
have been
Chief Charles
Charles Williams
Williams said
said talks
Charles Williams
Williams said
said talks
Williams said
said talks
said talks
producers revealed
islands government
planned to
NA
have long
was unavailable
conquerors and
NA
NA
on the
with hundreds
applying to
3 000
live on
which has
Caribs were
were killed
were killed
said he
said he
council who
people
of the
film took
comedy up
a winetasting
Giamatti is
is up
is up
Spirit Awards
Awards the
the arthouse
Awards the
the arthouse
the arthouse
NA
the day
NA
drama Maria
Full of
of Grace
of Grace
about a
woman who
biopic Kinsey
starring Liam
Neeson as
as sex
as sex
Kinsey was
was one
was one
is written
Payne who
who directed
who directed
Schmidt winning
winning Jack
winning Jack
Nicholson his
his 12th
his 12th
Award nomination
nomination
nomination
producer Michael
London adding
adding they
adding they
the other
to Brother
a drama
Peter and
and Primer
and Primer
NA
a 7
film festival
Salles critically
critically acclaimed
critically acclaimed
Diaries and
and the
and the
starring Kevin
Bacon received
received three
received three
in the
Dynamite The
The Door
The Door
in the
and Garden
State
written
written directed
written
written directed
star Zach
Braff alongside
alongside Natalie
alongside Natalie
Portman
NA
NA
Blair and
and Dennis
and Dennis
Quaid in
in Los
in Los
Angeles on
on Tuesday
on Tuesday
NA
ads for
Oscar campaign
campaign Producer
campaign Producer
Mel Gibson
Gibson will
will not
Gibson will
will not
will not
of the
to voters
Awards
NA
NA
and his
Productions partner
partner Bruce
partner Bruce
Davey said
said they
said they
in February
NA
said
will be
voters who
spent very
Christs life
life when
life when
recent years
of Motion
Picture Arts
Arts and
and Sciences
Arts and
and Sciences
and Sciences
has become
year the
president Frank
Pierson praised
praised Gibsons
praised Gibsons
move for
as a
pay tribute
Hollywood stars
stars including
stars including
Lee Burt
Burt Reynolds
Burt Reynolds
Reynolds and
and Oscar
and Oscar
nominee Alan
Alda have
have paid
have paid
Davis at
at a
at a
York
NA
NA
star Ossie
Davis a
a wellknown
a wellknown
at the
2005
and family
Dee his
his wife
his wife
Church on
on Saturday
on Saturday
NA
present at
Clinton and
and singer
and singer
Belafonte who
who gave
who gave
States said
said Mr
said Mr
NA
NA
most of
where he
said that
made his
Way Out
Out starring
starring Sidney
Out starring
starring Sidney
starring Sidney
Poiter
NA
NA
Lee starring
starring in
starring in
films including
Fever Do
Do The
Do The
The Right
Thing and
and Malcolm
and Malcolm
X
Shabazz the
the daughter
the daughter
X recalled
recalled the
recalled the
at her
has come
Ossie
NA
NA
NA
was my
star Alan
Alda a
a family
a family
was a
Reynolds Daviss
Daviss costar
Daviss costar
costar in
Shade
NA
NA
residents formed
NA
himself an
for over
Davis found
found dead
found dead
Davis has
has been
has been
who was
Dee was
was found
was found
in his
Beach Florida
Florida where
Florida where
where he
whose 65year
Beach police
police spokesman
police spokesman
Hernandez said
said the
said the
body was
Club hotel
hotel in
hotel in
Beach where
where the
where the
NA
said After
said After
had passed
had passed
to his
of Daviss
best known
Louis Story
Story and
and Gone
Story and
and Gone
and Gone
Are the
the Days
the Days
a
a film
Victorious
NA
NA
Lee movies
movies including
movies including
Daze Do
Do the
Do the
the Right
Thing and
and Jungle
and Jungle
Fever
NA
NA
Way Out
Out starring
starring Sydney
Out starring
starring Sydney
starring Sydney
Poitier and
and Ruby
and Ruby
Dee
NA
NA
and Dee
were married
Center honours
honours in
honours in
Equity Association
Association issued
issued a
Association issued
issued a
issued a
an icon
theatre and
American treasures
treasures
was also
Luther King
King Jnr
Jnr and
and Malcolm
King Jnr
Jnr and
and Malcolm
Jnr and
and Malcolm
and Malcolm
X
NA
NA
Dee Davis
Davis is
Davis is
is survived
Hasna and
and Guy
a blues
tops French
French actor
actor league
actor league
Gerard Jugnot
Jugnot
star
star of
Jugnot
star
star of
star
star of
film The
has
has beaten
Depardieu to
to become
to become
bestpaid actor
made 5
3
Le Figaro
Figaro newspaper
newspaper
Figaro newspaper
newspaper
newspaper
Les Choristes
Choristes Jugnot
Jugnot plays
Choristes Jugnot
Jugnot plays
Jugnot plays
plays an
starring in
made 3
2
is no
Figaro newspaper
newspaper
newspaper
which Jugnot
also coproduced
star Jean
Reno was
was Frances
was Frances
second bestpaid
2
Hotel Rwanda
Rwanda
NA
Rwanda
NA
NA
Figaros list
list was
list was
Tautou in
in 10th
in 10th
611 000
Jeunets A
A Very
A Very
Long Engagement
Engagement Un
Un Long
Long Dimanche
Engagement Un
Un Long
Long Dimanche
Dimanche de
Un Long
Long Dimanche
Dimanche de
de Fiancailles
Long Dimanche
Dimanche de
de Fiancailles
Dimanche de
de Fiancailles
de Fiancailles
and is
Hanks in
in Ron
in Ron
Howards The
The Da
The Da
Vinci Code
Code
NA
Code
NA
NA
is nominated
Oscar ceremony
ceremony
ceremony
it will
Long Engagement
Engagement in
in Frances
Engagement in
in Frances
in Frances
Cesar film
film awards
film awards
applauds Hotel
Rwanda Political
Political thriller
thriller Hotel
Political thriller
thriller Hotel
thriller Hotel
Rwanda was
was given
was given
Film Festival
Festival on
on Saturday
Festival on
on Saturday
on Saturday
NA
Cheadle also
also received
also received
from death
genocide
is nominated
including best
NA
Okonedo who
who plays
who plays
wife Tatiana
is nominated
was joined
by Paul
Rusesabagina the
the hotel
the hotel
wife and
wife and
and now
NA
used his
used his
businessman to
genocide contacting
Clinton the
the King
the King
of Belgium
as well
foreign ministry
Rwanda is
is one
is one
Film Festival
Festival which
which runs
Festival which
which runs
which runs
NA
in April
is a
Peck competing
competing for
competing for
and Silver
Bear awards
awards
awards
whereas Hotel
Rwanda was
was shot
was shot
Africa with
with some
with some
NA
movies of
911 and
of the
as two
Film Institute
Institute AFI
AFI hailed
Institute AFI
AFI hailed
AFI hailed
Gibsons biblical
biblical epic
biblical epic
Moores political
political documentary
political documentary
convention out
also cited
Brando and
and the
and the
Brandos death
death on
death on
at the
and After
NA
Kowalski and
and Terry
and Terry
Malloy that
that will
that will
current trends
Brokaw Barbara
Barbara Walters
Barbara Walters
Walters and
and the
and the
Rather
NA
NA
Communications Commission
Commission FCC
FCC The
Commission FCC
FCC The
FCC The
Jacksons wardrobe
wardrobe malfunction
malfunction during
wardrobe malfunction
malfunction during
Bowl performance
performance in
performance in
had a
of how
Spielbergs film
film Saving
film Saving
Private Ryan
Ryan in
in an
Ryan in
in an
in an
Niro film
film leads
film leads
star Robert
De Niro
Niro has
has returned
Niro has
has returned
has returned
American box
box office
box office
and Seek
NA
Niro recently
recently spent
recently spent
The Fockers
which was
hopefuls The
Million Dollar
Dollar Baby
Baby and
and Sideways
Baby and
and Sideways
and Sideways
all cashed
and Seek
De Niro
Niro plays
plays a
plays a
lukewarm reviews
Snyder president
president of
president of
Fox
NA
NA
Eastwoods Million
Million Dollar
Dollar Baby
Baby led
Million Dollar
Dollar Baby
Baby led
led the
Dollar Baby
Baby led
led the
Baby led
led the
led the
hopefuls with
a film
Hughes that
that leads
that leads
field with
bestpicture nominee
entered the
weeks top
Cubes roadtrip
roadtrip comedy
roadtrip comedy
We There
slipped to
Carter fell
fell two
fell two
out the
Company
starring
starring Dennis
starring
starring Dennis
Quaid and
and Scarlett
and Scarlett
Johansson
Racing
Racing Stripes
Stripes and
Racing
Racing Stripes
Stripes and
and Assault
Stripes and
and Assault
and Assault
on Precinct
13
bombs movie
Bombay blasts
blasts in
blasts in
the blasts
Friday had
had been
had been
on Friday
NA
High Court
Court postponed
postponed the
Court postponed
postponed the
postponed the
NA
Friday is
is based
is based
Hussain Zaidi
Zaidi which
which looks
Zaidi which
which looks
which looks
on 12
1993
Anurag Kashyap
Kashyap said
said the
Kashyap said
said the
said the
lawyer Mihir
lawyer Mihir
Desai said
said
said
bomb blasts
Memon said
said We
said We
we said
bombings case
longestrunning trials
hails European
cinema Organisers
say this
Film Festival
Festival which
which opens
Festival which
which opens
which opens
with period
to Man
will celebrate
cinema
and Silver
Bear awards
awards more
awards more
with France
particularly well
director Dieter
Kosslick says
says this
says this
films
on an
agency
films he
films
Mr Kosslick
refused to
refused to
war had
imports
350 films
Film Market
Market that
that runs
Market that
that runs
that runs
than a
Smith Kevin
Kevin Spacey
Kevin Spacey
Spacey and
and Keanu
and Keanu
Reeves
NA
NA
says more
says more
Awards not
not been
not been
NA
not worried
next year
runs until
NA
takes over
night mantle
has signed
Awards taking
taking over
taking over
coverage on
said it
Rock takes
takes place
takes place
2005
coverage will
and will
channels including
News Sky
Sky Travel
Sky Travel
Travel and
and the
and the
Channel
NA
NA
films on
Movies in
in the
in the
Awards said
said Sky
said Sky
Networks Sophie
Sophie Turner
Turner Laing
Laing
Sophie Turner
Turner Laing
Laing
NA
Turner Laing
Laing
NA
Laing
NA
NA
is the
first scooped
rights from
was forced
Awards on
on the
on the
the films
Awards are
are Martin
are Martin
Scorseses The
The Aviator
The Aviator
JeanPierre Jeunets
Jeunets A
A Very
A Very
Long Engagement
Engagement and
and the
Engagement and
and the
and the
Charles biopic
biopic Ray
biopic Ray
NA
tops US
Snicket novels
novels has
novels has
America box
box office
box office
12
of Unfortunate
Events starring
starring Jim
starring Jim
Carrey took
took 30
took 30
12 fell
entered the
of Unfortunate
Events also
also stars
also stars
comedian Billy
Connelly while
while Carrey
while Carrey
takes on
of the
at number
Quaid
NA
NA
entertained crowds
Snicket in
in London
in London
on Friday
NA
Streep and
and whisked
and whisked
Square
NA
NA
on the
Handler the
the film
the film
Olaf played
played by
played by
who schemes
Nairs Vanity
Vanity project
project Indian
Vanity project
project Indian
project Indian
film director
Nair has
has said
has said
Makepeace Thackerays
Thackerays novel
novel Vanity
Thackerays novel
novel Vanity
novel Vanity
Fair
as
as the
as
as the
literature
social climber
Sharp played
played in
played in
Witherspoon
NA
NA
said that
style including
Fair by
by the
by the
Features who
who had
who had
Wedding Nair
Nair told
Nair told
told BBC
Services Masterpiece
Masterpiece programme
programme
Masterpiece programme
programme
programme
Fair had
had actually
had actually
Catholic boarding
boarding school
boarding school
NA
her 1988
Bombay
nominated
nominated for
nominated
nominated for
Foreign Language
Language Oscar
Oscar and
and winner
Language Oscar
Oscar and
and winner
Oscar and
and winner
and winner
First Feature
Feature at
at Cannes
Feature at
at Cannes
at Cannes
Nair
Nair has
has become
has become
most famous
however
Bombay with
with Mississippi
with Mississippi
Masala starring
starring Denzel
starring Denzel
Washington and
and The
and The
Family her
her first
her first
film
Wedding in
in 2001
in 2001
Lion award
award at
award at
NA
Indianstyle adaptation
adaptation of
adaptation of
Fair however
however has
however has
elements as
Sharp running
running off
running off
NA
said that
who
who was
but moved
as a
when I
Sharp who
who is
who is
clarity
but came
as a
also defended
actress
Witherspoon
as
as Becky
as
as Becky
Sharp despite
despite the
despite the
or Irish
